250;100;0/250;120;0/280;100;90/250;130;0
0;0,2,
8;5,3,
8;210,2,
9;5,3,
9;6,7,
9;209,3,
9;210,2,
10;5,3,
10;6,7,
10;209,3,
10;210,2,
11;5,3,
11;6,7,
11;209,3,
11;210,2,
12;5,3,
12;6,7,
12;209,3,
12;210,2,
13;5,3,
13;6,7,
13;209,3,
13;210,2,
14;5,3,
14;6,7,
14;209,3,
14;210,2,
15;5,3,
15;6,7,
15;209,3,
15;210,2,
16;5,3,
16;6,7,
16;209,3,
16;210,2,
17;5,3,
17;6,7,
17;209,3,
17;210,2,
18;5,3,
18;6,7,
18;209,3,
18;210,2,
19;5,3,
19;6,7,
19;209,3,
19;210,2,
20;5,3,
20;6,7,
20;209,3,
20;210,2,
21;5,3,
21;6,7,
21;209,3,
21;210,2,
22;5,3,
22;6,7,
22;209,3,
22;210,2,
23;5,3,
23;6,7,
23;209,3,
23;210,2,
24;5,3,
24;6,7,
24;209,3,
24;210,2,
25;5,3,
25;6,7,
25;40,3, first red walll in the middle top mid bottom wall
25;170,7,
25;209,3,
25;210,2,
26;5,3,
26;6,7,
26;90,3,
26;91,2,
26;110,3,
26;111,7,
26;169,3,
26;170,7,
26;209,3,
26;210,2,
27;5,3,
27;6,7,
27;90,3,
27;91,2,
27;110,3,
27;111,7,
27;169,3,
27;170,-1,
27;175,4,
27;180,-1,
27;185,4,
27;190,-1,
27;195,4,
27;200,-1,
27;205,4,
27;209,3,
27;210,2,
28;5,3,
28;6,7,
28;90,3,
28;91,2,
28;110,3,
28;111,7,
28;169,3,
28;170,4,
28;175,-1,
28;180,4,
28;185,-1,
28;190,4,
28;195,-1,
28;200,4,
28;205,-1,
28;209,3,
28;210,2,
29;5,3,
29;6,7,
29;90,3,
29;91,2,
29;110,3,
29;111,7,
29;169,3,
29;170,-1,
29;175,4,
29;180,-1,
29;185,4,
29;190,-1,
29;195,4,
29;200,-1,
29;205,4,
29;209,3,
29;210,2,
30;5,3,
30;6,7,
30;90,3,
30;91,2,
30;110,3,
30;111,7,
30;169,3,
30;170,7,
30;209,3,
30;210,2,
31;5,3,
31;6,7,
31;90,3,
31;91,2,
31;110,3,
31;111,7,
31;169,3,
31;170,7,
31;209,3,
31;210,2,
32;5,3,
32;6,7,
32;90,3,
32;91,2,
32;110,3,
32;111,7,
32;169,3,
32;170,7,
32;209,3,
32;210,2,
33;5,3,
33;6,7,
33;90,3,
33;91,2,
33;110,3,
33;111,7,
33;169,3,
33;170,7,
33;209,3,
33;210,2,
34;5,3,
34;6,7,
34;90,3,
34;91,2,
34;110,3,
34;111,7,
34;169,3,
34;170,7,
34;209,3,
34;210,2,
35;5,3,
35;6,7,
35;90,3,
35;91,2,
35;110,3,
35;111,7,
35;169,3,
35;170,7,
35;209,3,
35;210,2,
36;5,3,
36;6,7,
36;90,3,
