0;0,1,
12;6,3,
12;204,1,
13;6,3
13;7,1
13;203,3,
13;204,1,
14;6,3
14;7,1
14;203,3,
14;204,1,
15;0,1,
15;6,3,
15;7,1,
15;10,0,
15;200,1,
15;203,3,
15;204,1,
16;0,1,
16;6,3,
16;7,1,
16;10,0,
16;200,1,
16;203,3,
16;204,1,
17;0,1,
17;6,3,
17;7,1,
17;10,0,
17;200,1,
17;203,3,
17;204,1,
18;0,1,
18;6,3,
18;7,1,
18;10,0,
18;200,1,
18;203,3,
18;204,1,
19;0,1,
19;6,3,
19;7,1,
19;10,0,
19;200,1,
19;203,3,
19;204,1,
20;0,1,
20;6,3,
20;7,1,
20;10,0,
20;200,1,
20;203,3,
20;204,1,
21;0,1,
21;6,3,
21;7,1,
21;10,0,
21;200,1,
21;203,3,
21;204,1,
22;0,1,
22;6,3,
22;7,1,
22;10,0,
22;200,1,
22;203,3,
22;204,1,
23;0,1,
23;6,3,
23;7,1,
23;10,0,
23;200,1,
23;203,3,
23;204,1,
24;0,1,
24;6,3,
24;7,1,
24;10,0,
24;200,1,
24;203,3,
24;204,1,
25;0,1,
25;6,3,
25;7,1,
25;10,0,
25;200,1,
25;203,3,
25;204,1,
26;0,1,
26;6,3,
26;7,1,
26;10,0,
26;200,1,
26;203,3,
26;204,1,
27;0,1,
27;6,3,
27;7,1,
27;10,0,
27;200,1,
27;203,3,
27;204,1,
28;0,1,
28;6,3,
28;7,1,
28;10,0,
28;200,1,
28;203,3,
28;204,1,
29;0,1,
29;6,3,
29;7,1,
29;10,0,
29;200,1,
29;203,3,
29;204,1,
30;0,1,
30;6,3,
30;7,1,
30;10,0,
30;200,1,
30;203,3,
30;204,1,
31;0,1,
31;6,3,
31;7,1,
31;10,0,
31;40,1,
31;46,3,
31;155,1,
31;159,0,
31;200,1,
31;203,3,
31;204,1,
32;0,1,
32;6,3,
32;7,1,
32;10,0,
32;40,1,
32;46,3,
32;47,1,
32;154,3,
32;155,1,
32;159,0,
32;200,1,
32;203,3,
32;204,1,
33;0,1,
33;6,3,
33;7,1,
33;10,0,
33;40,1,
33;46,3,
33;47,1,
33;154,3,
33;155,1,
33;159,0,
33;200,1,
33;203,3,
33;204,1,
34;0,1,
34;6,3,
34;7,1,
34;10,0,
34;40,1,
34;46,3,
34;47,1,
34;154,3,
34;155,1,
34;159,0,
34;200,1,
34;203,3,
34;204,1,
35;0,1,
35;6,3,
35;7,1,
35;10,0,
35;40,1,
35;46,3,
35;47,1,
35;154,3,
35;155,1,
35;159,0,
35;200,1,
35;203,3,
35;204,1,
36;0,1,
36;6,3,
36;7,1,
36;10,0,
36;40,1,
36;46,3,
36;47,1,
36;154,3,
36;155,1,
36;159,0,
36;200,1,
36;203,3,
36;204,1,
37;0,1,
37;6,3,
37;7,1,
37;10,0,
37;40,1,
37;46,3,
37;47,1,
37;154,3,
37;155,1,
37;159,0,
37;200,1,
37;203,3,
37;204,1,
38;0,1,
38;6,3,
38;7,1,
38;10,0,
38;40,1,
38;46,3,
38;47,1,
38;154,3,
38;155,1,
38;159,0,
38;200,1,
38;203,3,
38;204,1,
39;0,1,
39;6,3,
39;7,1,
39;10,0,
39;40,1,
39;46,3,
39;47,1,
